actorid,address,amount,city,country,lastupdateactor,replacementcost,lastnameactor,customerid,inventoryid,length,rentduration,custompayment,districtaddess,lastnamecustom,countrycustomer
59,,2.99,,,,14.99,,,191,109,3,25,,,
83,,6.99,,,,11.99,,,191,107,7,25,,,
158,,8.99,,,,17.99,,,191,157,5,25,,,
162,,4.99,,,,9.99,,,192,118,3,25,,,
200,,4.99,,,,29.99,,,192,99,7,25,,,
37,,2.99,,,,12.99,,,193,65,6,25,,,
53,,0.99,,,,22.99,,,193,175,4,25,,,
57,,2.99,,,,27.99,,,194,145,4,25,,,
76,,2.99,,,,20.99,,,194,160,3,25,,,
94,,4.99,,,,25.99,,,194,80,7,25,,,
157,,2.99,,,,10.99,,,194,74,3,25,,,
196,,2.99,,,,17.99,,,194,48,4,25,,,
92,,0.99,,,,27.99,,,195,99,7,25,,,
102,,8.99,,,,17.99,,,195,82,7,25,,,
144,,2.99,,,,19.99,,,195,118,3,25,,,
197,,2.99,,,,11.99,,,196,99,3,25,,,
17,,2.99,,,,17.99,,,196,60,6,25,,,
64,,5.99,,,,16.99,,,196,137,7,25,,,
80,,2.99,,,,25.99,,,197,136,6,25,,,
93,,2.99,,,,23.99,,,197,77,3,25,,,
102,,0.99,,,,17.99,,,197,50,6,25,,,
15,,0.99,,,,21.99,,,197,103,4,25,,,
23,,4.99,,,,20.99,,,198,100,4,25,,,
34,,4.99,,,,17.99,,,198,134,4,25,,,
65,,0.99,,,,19.99,,,198,60,5,25,,,
138,,5.99,,,,11.99,,,199,173,4,25,,,
144,,2.99,,,,10.99,,,199,132,6,26,,,
198,,2.99,,,,9.99,,,200,84,5,26,,,
24,,5.99,,,,15.99,,,200,138,6,26,,,
53,,4.99,,,,12.99,,,200,61,6,26,,,
95,,9.99,,,,14.99,,,200,137,5,26,,,
106,,3.99,,,,25.99,,,201,185,7,26,,,
110,,6.99,,,,29.99,,,201,159,6,26,,,
17,,4.99,,,,10.99,,,201,179,3,26,,,
144,,4.99,,,,16.99,,,201,115,5,26,,,
159,,2.99,,,,15.99,,,202,98,6,26,,,
187,,4.99,,,,12.99,,,202,144,6,26,,,
40,,4.99,,,,20.99,,,202,114,6,26,,,
58,,0.99,,,,16.99,,,202,53,7,26,,,
88,,6.99,,,,29.99,,,203,71,3,26,,,
116,,3.99,,,,26.99,,,203,106,7,26,,,
155,,6.99,,,,13.99,,,203,115,4,26,,,
54,,2.99,,,,11.99,,,204,155,5,26,,,
59,,1.99,,,,12.99,,,204,89,4,26,,,
62,,2.99,,,,18.99,,,204,100,6,26,,,
175,,0.99,,,,25.99,,,204,121,3,26,,,
195,,4.99,,,,9.99,,,205,88,4,26,,,
197,,0.99,,,,22.99,,,205,163,5,26,,,
59,,3.99,,,,29.99,,,205,177,5,26,,,
103,,3.99,,,,19.99,,,205,112,4,26,,,
144,,2.99,,,,19.99,,,205,147,7,26,,,
195,,0.99,,,,18.99,,,206,120,4,26,,,
29,,5.99,,,,18.99,,,206,154,4,26,,,
147,,4.99,,,,11.99,,,206,82,4,26,,,
151,,4.99,,,,14.99,,,206,74,3,26,,,
179,,8.99,,,,29.99,,,207,73,6,26,,,
2,,1.99,,,,25.99,,,207,147,3,26,,,
134,,7.99,,,,26.99,,,207,136,6,26,,,
29,,2.99,,,,23.99,,,207,97,6,26,,,
60,,7.99,,,,24.99,,,207,73,7,26,,,
68,,2.99,,,,11.99,,,208,182,7,27,,,
107,,4.99,,,,20.99,,,208,179,3,27,,,
132,,4.99,,,,23.99,,,208,182,7,27,,,
133,,2.99,,,,26.99,,,208,123,5,27,,,
148,,3.99,,,,29.99,,,209,82,3,27,,,
48,,2.99,,,,15.99,,,209,110,5,27,,,
57,,4.99,,,,25.99,,,210,167,6,27,,,
63,,1.99,,,,29.99,,,210,61,7,27,,,
96,,3.99,,,,12.99,,,210,117,6,27,,,
33,,0.99,,,,26.99,,,210,63,3,27,,,
58,,5.99,,,,28.99,,,210,177,5,27,,,
83,,0.99,,,,28.99,,,211,46,3,27,,,
140,,4.99,,,,29.99,,,211,153,7,27,,,
144,,0.99,,,,17.99,,,211,58,5,27,,,
194,,5.99,,,,29.99,,,212,149,4,27,,,
32,,4.99,,,,12.99,,,212,158,4,27,,,
104,,1.99,,,,26.99,,,212,102,7,27,,,
106,,0.99,,,,21.99,,,212,134,4,27,,,
107,,5.99,,,,28.99,,,212,102,4,27,,,
118,,7.99,,,,27.99,,,213,178,3,27,,,
153,,4.99,,,,17.99,,,213,145,4,27,,,
86,,7.99,,,,13.99,,,213,153,5,27,,,
92,,4.99,,,,28.99,,,213,81,7,27,,,
108,,0.99,,,,25.99,,,213,101,7,27,,,
107,,8.99,,,,27.99,,,214,60,7,27,,,
185,,6.99,,,,23.99,,,214,89,4,27,,,
42,,5.99,,,,23.99,,,214,162,5,27,,,
142,,0.99,,,,10.99,,,214,118,3,27,,,
147,,2.99,,,,9.99,,,214,171,5,27,,,
149,,4.99,,,,16.99,,,215,109,4,27,,,
170,,0.99,,,,19.99,,,215,153,6,27,,,
1,,2.99,,,,25.99,,,215,145,3,28,,,
20,,2.99,,,,17.99,,,215,181,6,28,,,
79,,2.99,,,,27.99,,,216,101,6,28,,,
118,,4.99,,,,20.99,,,216,48,3,28,,,
121,,3.99,,,,17.99,,,216,150,6,28,,,
127,,0.99,,,,11.99,,,216,99,5,28,,,
143,,0.99,,,,10.99,,,217,80,7,28,,,
154,,0.99,,,,28.99,,,217,106,4,28,,,
193,,0.99,,,,11.99,,,218,125,5,28,,,
195,,4.99,,,,29.99,,,218,73,4,28,,,
21,,2.99,,,,21.99,,,218,110,5,28,,,
60,,5.99,,,,23.99,,,219,154,7,28,,,
66,,0.99,,,,29.99,,,219,154,6,28,,,
75,,0.99,,,,26.99,,,219,75,3,28,,,
82,,9.99,,,,28.99,,,219,150,3,28,,,
97,,4.99,,,,18.99,,,220,182,7,28,,,
119,,2.99,,,,25.99,,,220,84,5,28,,,
13,,2.99,,,,13.99,,,220,183,6,28,,,
18,,4.99,,,,11.99,,,220,102,3,28,,,
19,,4.99,,,,21.99,,,221,151,5,28,,,
57,,2.99,,,,13.99,,,221,147,5,28,,,
67,,6.99,,,,23.99,,,221,137,3,28,,,
72,,2.99,,,,24.99,,,221,80,4,28,,,
120,,3.99,,,,28.99,,,222,112,6,28,,,
151,,2.99,,,,22.99,,,222,182,3,28,,,
180,,0.99,,,,18.99,,,223,110,4,28,,,
195,,2.99,,,,11.99,,,223,90,6,28,,,
2,,4.99,,,,10.99,,,223,158,5,28,,,
134,,2.99,,,,24.99,,,224,109,3,28,,,
147,,4.99,,,,23.99,,,224,54,4,28,,,
199,,2.99,,,,15.99,,,224,98,7,28,,,
5,,2.99,,,,15.99,,,225,127,4,28,,,
20,,1.99,,,,26.99,,,225,60,6,29,,,
22,,0.99,,,,22.99,,,225,93,5,29,,,
31,,0.99,,,,20.99,,,225,47,7,29,,,
37,,7.99,,,,20.99,,,225,80,6,29,,,
101,,2.99,,,,14.99,,,226,113,7,29,,,
149,,2.99,,,,12.99,,,226,125,4,29,,,
165,,2.99,,,,15.99,,,226,104,5,29,,,
166,,2.99,,,,15.99,,,227,79,7,29,,,
171,,6.99,,,,22.99,,,227,67,6,29,,,
178,,0.99,,,,24.99,,,227,167,3,29,,,
184,,0.99,,,,15.99,,,227,154,7,29,,,
188,,10.99,,,,14.99,,,227,139,6,29,,,
9,,1.99,,,,28.99,,,228,52,5,29,,,
26,,3.99,,,,23.99,,,228,111,7,29,,,
43,,6.99,,,,12.99,,,228,135,3,29,,,
131,,0.99,,,,23.99,,,228,67,7,29,,,
197,,2.99,,,,11.99,,,229,74,4,29,,,
9,,4.99,,,,26.99,,,229,51,3,29,,,
24,,4.99,,,,19.99,,,229,126,7,29,,,
73,,5.99,,,,19.99,,,229,152,5,29,,,
85,,1.99,,,,15.99,,,230,132,7,29,,,
123,,4.99,,,,29.99,,,230,179,7,29,,,
164,,2.99,,,,13.99,,,230,129,7,29,,,
172,,4.99,,,,12.99,,,230,64,5,29,,,
120,,2.99,,,,25.99,,,231,137,4,29,,,
148,,6.99,,,,25.99,,,231,87,4,29,,,
200,,6.99,,,,10.99,,,231,84,5,29,,,
27,,2.99,,,,14.99,,,231,156,5,29,,,
41,,0.99,,,,21.99,,,232,147,5,29,,,
48,,2.99,,,,29.99,,,232,60,4,29,,,
54,,3.99,,,,13.99,,,233,50,7,29,,,
176,,0.99,,,,18.99,,,233,184,7,29,,,
49,,4.99,,,,15.99,,,233,110,6,29,,,
112,,7.99,,,,14.99,,,234,74,4,29,,,
118,,5.99,,,,27.99,,,234,62,3,29,,,
123,,0.99,,,,27.99,,,234,185,7,29,,,
19,,1.99,,,,17.99,,,234,180,4,30,,,
181,,2.99,,,,29.99,,,234,165,3,30,,,
25,,4.99,,,,11.99,,,235,184,3,30,,,
51,,2.99,,,,17.99,,,235,184,6,30,,,
57,,4.99,,,,12.99,,,235,169,6,30,,,
77,,2.99,,,,21.99,,,235,143,4,30,,,
94,,2.99,,,,19.99,,,236,52,4,30,,,
149,,5.99,,,,22.99,,,236,165,6,30,,,
152,,9.99,,,,19.99,,,236,124,7,30,,,
155,,0.99,,,,22.99,,,237,141,5,30,,,
13,,7.99,,,,12.99,,,237,79,7,30,,,
14,,0.99,,,,12.99,,,237,138,7,30,,,
17,,2.99,,,,23.99,,,237,149,7,30,,,
33,,2.99,,,,20.99,,,238,138,5,30,,,
121,,4.99,,,,16.99,,,238,175,5,30,,,
145,,4.99,,,,20.99,,,238,134,5,30,,,
173,,4.99,,,,26.99,,,238,151,4,30,,,
12,,4.99,,,,13.99,,,239,112,6,30,,,
16,,2.99,,,,14.99,,,239,136,3,30,,,
139,,2.99,,,,19.99,,,239,85,4,30,,,
145,,0.99,,,,25.99,,,239,112,5,30,,,
156,,0.99,,,,23.99,,,239,130,5,30,,,
175,,2.99,,,,26.99,,,240,75,5,30,,,
192,,6.99,,,,9.99,,,240,181,5,30,,,
104,,2.99,,,,13.99,,,240,113,4,30,,,
110,,2.99,,,,15.99,,,240,143,4,30,,,
132,,0.99,,,,16.99,,,241,140,6,30,,,
196,,0.99,,,,9.99,,,241,48,7,30,,,
87,,4.99,,,,9.99,,,241,93,3,30,,,
109,,0.99,,,,10.99,,,241,160,7,30,,,
122,,2.99,,,,19.99,,,241,94,3,30,,,
127,,4.99,,,,28.99,,,242,57,6,30,,,
138,,4.99,,,,27.99,,,242,163,7,30,,,
8,,2.99,,,,19.99,,,242,151,3,30,,,
65,,4.99,,,,27.99,,,242,103,4,31,,,
105,,1.99,,,,12.99,,,242,139,3,31,,,
122,,0.99,,,,22.99,,,243,119,4,31,,,
154,,6.99,,,,28.99,,,243,132,7,31,,,
21,,7.99,,,,11.99,,,243,73,5,31,,,
41,,0.99,,,,24.99,,,243,144,3,31,,,
149,,0.99,,,,21.99,,,244,127,5,31,,,
157,,4.99,,,,20.99,,,244,114,3,31,,,
179,,2.99,,,,13.99,,,244,93,4,31,,,
199,,1.99,,,,12.99,,,244,111,3,31,,,
38,,0.99,,,,25.99,,,245,53,5,31,,,
137,,4.99,,,,9.99,,,245,141,5,31,,,
178,,4.99,,,,21.99,,,245,92,5,31,,,
182,,6.99,,,,19.99,,,245,135,3,31,,,
43,,9.99,,,,28.99,,,245,48,6,31,,,
68,,3.99,,,,10.99,,,246,58,5,31,,,
87,,4.99,,,,27.99,,,246,114,5,31,,,
121,,1.99,,,,22.99,,,246,47,4,31,,,
134,,3.99,,,,12.99,,,246,123,4,31,,,
194,,2.99,,,,19.99,,,247,176,6,31,,,
13,,2.99,,,,27.99,,,247,185,3,31,,,
89,,0.99,,,,13.99,,,247,108,3,31,,,
107,,4.99,,,,13.99,,,248,155,6,31,,,
111,,0.99,,,,9.99,,,248,173,6,31,,,
114,,6.99,,,,11.99,,,248,91,3,31,,,
132,,6.99,,,,23.99,,,248,64,4,31,,,
173,,4.99,,,,25.99,,,249,74,3,32,,,
176,,4.99,,,,20.99,,,249,148,3,32,,,
31,,4.99,,,,9.99,,,249,152,6,32,,,
40,,6.99,,,,13.99,,,249,71,5,32,,,
86,,0.99,,,,24.99,,,249,99,4,32,,,
194,,5.99,,,,17.99,,,250,53,6,32,,,
6,,1.99,,,,11.99,,,250,88,5,32,,,
24,,2.99,,,,22.99,,,251,179,7,32,,,
31,,2.99,,,,9.99,,,251,184,5,32,,,
45,,2.99,,,,28.99,,,251,135,5,32,,,
48,,0.99,,,,9.99,,,251,53,5,32,,,
144,,9.99,,,,28.99,,,252,111,3,32,,,
162,,0.99,,,,14.99,,,252,172,5,32,,,
178,,2.99,,,,13.99,,,252,69,3,32,,,
193,,3.99,,,,18.99,,,253,104,3,32,,,
197,,2.99,,,,11.99,,,253,91,4,32,,,
6,,6.99,,,,23.99,,,253,68,6,32,,,
20,,5.99,,,,21.99,,,253,142,3,32,,,
83,,2.99,,,,10.99,,,254,157,3,32,,,
107,,5.99,,,,27.99,,,254,179,3,32,,,
1,,2.99,,,,18.99,,,255,152,4,32,,,
106,,2.99,,,,14.99,,,255,144,7,32,,,
122,,4.99,,,,17.99,,,256,136,6,32,,,
129,,4.99,,,,29.99,,,256,142,3,32,,,
163,,9.99,,,,22.99,,,256,170,6,32,,,
171,,8.99,,,,13.99,,,257,139,5,32,,,
192,,1.99,,,,26.99,,,257,71,3,32,,,
63,,0.99,,,,10.99,,,258,132,7,32,,,
117,,5.99,,,,27.99,,,258,171,4,32,,,
151,,2.99,,,,10.99,,,258,168,4,33,,,
39,,10.99,,,,11.99,,,258,110,3,33,,,
128,,8.99,,,,28.99,,,258,102,3,33,,,
150,,5.99,,,,19.99,,,259,87,3,33,,,
174,,0.99,,,,14.99,,,259,64,7,33,,,
187,,4.99,,,,9.99,,,259,52,3,33,,,
149,,0.99,,,,20.99,,,260,115,3,33,,,
154,,4.99,,,,13.99,,,260,61,6,33,,,
164,,4.99,,,,9.99,,,260,92,7,33,,,
184,,4.99,,,,10.99,,,260,80,3,33,,,
196,,1.99,,,,24.99,,,261,152,3,33,,,
7,,2.99,,,,23.99,,,261,152,4,33,,,
75,,4.99,,,,17.99,,,261,82,3,33,,,
88,,7.99,,,,16.99,,,261,62,3,33,,,
121,,2.99,,,,29.99,,,261,172,7,33,,,
135,,7.99,,,,22.99,,,262,107,7,33,,,
139,,0.99,,,,12.99,,,262,78,7,33,,,
151,,0.99,,,,15.99,,,262,129,7,33,,,
154,,5.99,,,,27.99,,,263,164,3,33,,,
5,,2.99,,,,11.99,,,263,120,5,33,,,
36,,0.99,,,,16.99,,,263,174,6,33,,,
119,,4.99,,,,16.99,,,263,84,5,34,,,
189,,5.99,,,,21.99,,,263,128,5,34,,,
5,,0.99,,,,23.99,,,264,145,4,34,,,
18,,3.99,,,,9.99,,,264,48,7,34,,,
27,,2.99,,,,21.99,,,264,73,3,34,,,
29,,4.99,,,,11.99,,,265,126,4,34,,,
34,,4.99,,,,20.99,,,265,122,7,34,,,
47,,5.99,,,,17.99,,,265,142,5,34,,,
107,,2.99,,,,21.99,,,265,123,3,34,,,
119,,2.99,,,,14.99,,,266,85,7,34,,,
133,,0.99,,,,14.99,,,266,173,3,34,,,
7,,3.99,,,,17.99,,,266,90,4,34,,,
112,,0.99,,,,19.99,,,266,64,6,34,,,
119,,4.99,,,,10.99,,,266,145,4,34,,,
190,,0.99,,,,27.99,,,267,174,7,34,,,
46,,2.99,,,,27.99,,,267,76,4,34,,,
109,,4.99,,,,29.99,,,267,179,6,34,,,
58,,2.99,,,,22.99,,,267,164,5,34,,,
80,,2.99,,,,14.99,,,267,144,3,34,,,
84,,0.99,,,,16.99,,,268,59,5,34,,,
125,,4.99,,,,22.99,,,268,139,6,34,,,
143,,2.99,,,,27.99,,,268,157,6,34,,,
177,,5.99,,,,12.99,,,268,132,7,34,,,
38,,7.99,,,,28.99,,,268,78,6,34,,,
44,,3.99,,,,17.99,,,269,152,7,35,,,
91,,6.99,,,,9.99,,,269,112,3,35,,,
12,,0.99,,,,18.99,,,269,73,7,35,,,
16,,2.99,,,,19.99,,,269,135,7,35,,,
40,,4.99,,,,23.99,,,270,107,7,35,,,
60,,0.99,,,,26.99,,,270,80,7,35,,,
97,,2.99,,,,19.99,,,270,178,6,35,,,
146,,4.99,,,,10.99,,,270,83,6,35,,,
158,,2.99,,,,15.99,,,270,128,5,35,,,
24,,4.99,,,,22.99,,,271,161,7,35,,,
50,,0.99,,,,18.99,,,271,85,7,35,,,
81,,2.99,,,,12.99,,,272,78,5,35,,,
117,,0.99,,,,17.99,,,272,61,4,35,,,
147,,5.99,,,,28.99,,,272,112,6,35,,,
149,,0.99,,,,14.99,,,272,70,3,35,,,
158,,5.99,,,,26.99,,,273,134,5,35,,,
8,,4.99,,,,19.99,,,273,79,6,35,,,
21,,4.99,,,,29.99,,,273,159,4,35,,,
25,,4.99,,,,11.99,,,273,52,7,35,,,
60,,4.99,,,,11.99,,,273,109,4,35,,,
111,,6.99,,,,24.99,,,274,59,4,35,,,
192,,5.99,,,,27.99,,,274,183,3,35,,,
43,,2.99,,,,24.99,,,274,181,4,35,,,
153,,6.99,,,,22.99,,,275,137,6,35,,,
163,,1.99,,,,12.99,,,275,111,6,35,,,
170,,7.99,,,,25.99,,,275,85,3,35,,,
53,,4.99,,,,12.99,,,276,98,3,35,,,
91,,4.99,,,,10.99,,,276,100,6,35,,,
113,,2.99,,,,12.99,,,276,75,4,35,,,
139,,0.99,,,,13.99,,,276,55,7,35,,,
171,,2.99,,,,23.99,,,277,126,4,35,,,
19,,4.99,,,,18.99,,,277,105,7,35,,,
34,,0.99,,,,20.99,,,277,126,3,36,,,
89,,0.99,,,,19.99,,,278,111,4,36,,,
59,,0.99,,,,24.99,,,278,85,6,36,,,
98,,0.99,,,,13.99,,,278,116,3,36,,,
157,,4.99,,,,26.99,,,279,139,7,36,,,
54,,4.99,,,,22.99,,,279,74,4,36,,,
104,,0.99,,,,13.99,,,279,171,3,36,,,
144,,0.99,,,,26.99,,,280,185,4,36,,,
170,,6.99,,,,17.99,,,280,176,5,36,,,
3,,0.99,,,,10.99,,,280,178,6,36,,,
74,,6.99,,,,29.99,,,280,100,6,36,,,
123,,0.99,,,,11.99,,,280,86,5,36,,,
140,,2.99,,,,9.99,,,281,183,6,36,,,
191,,4.99,,,,14.99,,,281,179,4,36,,,
26,,2.99,,,,10.99,,,282,105,6,36,,,
60,,0.99,,,,28.99,,,282,101,5,36,,,
81,,2.99,,,,18.99,,,282,50,3,36,,,
121,,2.99,,,,,,,282,,,36,,,
142,,0.99,,,,,,,283,,,36,,,
198,,6.99,,,,,,,283,,,36,,,
14,,4.99,,,,,,,284,,,36,,,
45,,4.99,,,,,,,284,,,36,,,
76,,2.99,,,,,,,284,,,36,,,
89,,1.99,,,,,,,284,,,36,,,
159,,4.99,,,,,,,285,,,36,,,
186,,9.99,,,,,,,285,,,36,,,
31,,4.99,,,,,,,285,,,36,,,
82,,0.99,,,,,,,286,,,37,,,
97,,2.99,,,,,,,286,,,37,,,
112,,4.99,,,,,,,286,,,37,,,
114,,1.99,,,,,,,286,,,37,,,
125,,3.99,,,,,,,287,,,37,,,
141,,7.99,,,,,,,287,,,37,,,
149,,5.99,,,,,,,287,,,37,,,
158,,5.99,,,,,,,287,,,37,,,
161,,0.99,,,,,,,288,,,37,,,
168,,9.99,,,,,,,288,,,37,,,
173,,5.99,,,,,,,288,,,37,,,
177,,2.99,,,,,,,288,,,37,,,
101,,3.99,,,,,,,288,,,37,,,
106,,7.99,,,,,,,289,,,37,,,
197,,4.99,,,,,,,289,,,37,,,
91,,0.99,,,,,,,290,,,37,,,
109,,3.99,,,,,,,290,,,37,,,
117,,8.99,,,,,,,291,,,37,,,
124,,0.99,,,,,,,291,,,37,,,
150,,2.99,,,,,,,291,,,37,,,
175,,3.99,,,,,,,291,,,37,,,
9,,0.99,,,,,,,292,,,37,,,
10,,0.99,,,,,,,292,,,37,,,
141,,2.99,,,,,,,292,,,38,,,
146,,1.99,,,,,,,293,,,38,,,
167,,1.99,,,,,,,293,,,38,,,
175,,4.99,,,,,,,293,,,38,,,
57,,3.99,,,,,,,294,,,38,,,
74,,5.99,,,,,,,294,,,38,,,
6,,1.99,,,,,,,294,,,38,,,
88,,4.99,,,,,,,295,,,38,,,
94,,4.99,,,,,,,295,,,38,,,
126,,2.99,,,,,,,295,,,38,,,
136,,2.99,,,,,,,296,,,38,,,
149,,2.99,,,,,,,296,,,38,,,
154,,5.99,,,,,,,296,,,38,,,
179,,0.99,,,,,,,296,,,38,,,
24,,4.99,,,,,,,297,,,38,,,
41,,5.99,,,,,,,297,,,38,,,
81,,5.99,,,,,,,297,,,38,,,
98,,0.99,,,,,,,298,,,38,,,
102,,3.99,,,,,,,298,,,38,,,
106,,0.99,,,,,,,298,,,38,,,
111,,0.99,,,,,,,299,,,38,,,
114,,4.99,,,,,,,299,,,38,,,
126,,2.99,,,,,,,299,,,38,,,
178,,6.99,,,,,,,299,,,38,,,
8,,3.99,,,,,,,299,,,38,,,
49,,2.99,,,,,,,300,,,38,,,
180,,4.99,,,,,,,300,,,38,,,
181,,0.99,,,,,,,301,,,38,,,
86,,1.99,,,,,,,301,,,38,,,
168,,4.99,,,,,,,301,,,38,,,
32,,2.99,,,,,,,301,,,38,,,
55,,6.99,,,,,,,301,,,38,,,
64,,2.99,,,,,,,302,,,38,,,
90,,5.99,,,,,,,302,,,38,,,
97,,5.99,,,,,,,302,,,39,,,
103,,4.99,,,,,,,303,,,39,,,
117,,0.99,,,,,,,303,,,39,,,
146,,4.99,,,,,,,303,,,39,,,
178,,4.99,,,,,,,303,,,39,,,
45,,4.99,,,,,,,303,,,39,,,
62,,5.99,,,,,,,304,,,39,,,
104,,8.99,,,,,,,304,,,39,,,
121,,6.99,,,,,,,304,,,39,,,
156,,7.99,,,,,,,305,,,39,,,
17,,4.99,,,,,,,305,,,39,,,
24,,2.99,,,,,,,306,,,39,,,
32,,2.99,,,,,,,306,,,39,,,
58,,6.99,,,,,,,307,,,39,,,
87,,1.99,,,,,,,307,,,39,,,
103,,7.99,,,,,,,308,,,39,,,
126,,2.99,,,,,,,308,,,39,,,
142,,1.99,,,,,,,308,,,39,,,
9,,4.99,,,,,,,309,,,39,,,
102,,4.99,,,,,,,309,,,39,,,
139,,0.99,,,,,,,309,,,39,,,
17,,4.99,,,,,,,310,,,39,,,
26,,4.99,,,,,,,310,,,39,,,
35,,0.99,,,,,,,310,,,39,,,
5,,9.99,,,,,,,310,,,39,,,
69,,0.99,,,,,,,311,,,39,,,
70,,4.99,,,,,,,311,,,39,,,
127,,7.99,,,,,,,312,,,39,,,
129,,5.99,,,,,,,312,,,39,,,
5,,4.99,,,,,,,312,,,40,,,
13,,7.99,,,,,,,312,,,40,,,
39,,2.99,,,,,,,313,,,40,,,
41,,4.99,,,,,,,313,,,40,,,
52,,0.99,,,,,,,313,,,40,,,
74,,1.99,,,,,,,313,,,40,,,
153,,2.99,,,,,,,314,,,40,,,
9,,5.99,,,,,,,314,,,40,,,
25,,0.99,,,,,,,314,,,40,,,
37,,0.99,,,,,,,314,,,40,,,
106,,0.99,,,,,,,314,,,40,,,
125,,3.99,,,,,,,315,,,40,,,
165,,8.99,,,,,,,315,,,40,,,
8,,4.99,,,,,,,315,,,40,,,
11,,6.99,,,,,,,315,,,40,,,
68,,1.99,,,,,,,316,,,40,,,
79,,2.99,,,,,,,316,,,40,,,
102,,0.99,,,,,,,316,,,40,,,
94,,3.99,,,,,,,316,,,40,,,
103,,9.99,,,,,,,316,,,40,,,
131,,2.99,,,,,,,317,,,40,,,
150,,6.99,,,,,,,317,,,40,,,
159,,0.99,,,,,,,318,,,40,,,
188,,5.99,,,,,,,318,,,40,,,
49,,2.99,,,,,,,318,,,40,,,
66,,6.99,,,,,,,318,,,40,,,
80,,2.99,,,,,,,319,,,40,,,
87,,4.99,,,,,,,319,,,41,,,
92,,7.99,,,,,,,320,,,41,,,
95,,2.99,,,,,,,320,,,41,,,
141,,9.99,,,,,,,320,,,41,,,
146,,4.99,,,,,,,320,,,41,,,
12,,2.99,,,,,,,321,,,41,,,
19,,4.99,,,,,,,321,,,41,,,
63,,4.99,,,,,,,322,,,41,,,
108,,1.99,,,,,,,322,,,41,,,
120,,6.99,,,,,,,322,,,41,,,
130,,0.99,,,,,,,323,,,41,,,
154,,6.99,,,,,,,323,,,41,,,
159,,2.99,,,,,,,323,,,41,,,
168,,2.99,,,,,,,323,,,41,,,
186,,5.99,,,,,,,324,,,41,,,
96,,2.99,,,,,,,324,,,41,,,
107,,7.99,,,,,,,324,,,41,,,
59,,4.99,,,,,,,324,,,41,,,
114,,5.99,,,,,,,325,,,41,,,
133,,2.99,,,,,,,325,,,41,,,
157,,3.99,,,,,,,326,,,41,,,
48,,0.99,,,,,,,326,,,41,,,
62,,7.99,,,,,,,326,,,41,,,
19,,4.99,,,,,,,326,,,41,,,
23,,2.99,,,,,,,327,,,41,,,
41,,5.99,,,,,,,327,,,42,,,
80,,0.99,,,,,,,327,,,42,,,
89,,2.99,,,,,,,327,,,42,,,
90,,3.99,,,,,,,327,,,42,,,
98,,4.99,,,,,,,328,,,42,,,
128,,2.99,,,,,,,328,,,42,,,
170,,4.99,,,,,,,328,,,42,,,
12,,5.99,,,,,,,329,,,42,,,
25,,3.99,,,,,,,329,,,42,,,
57,,2.99,,,,,,,330,,,42,,,
68,,2.99,,,,,,,330,,,42,,,
33,,0.99,,,,,,,330,,,42,,,
136,,3.99,,,,,,,330,,,42,,,
138,,0.99,,,,,,,330,,,42,,,
192,,6.99,,,,,,,331,,,42,,,
68,,2.99,,,,,,,331,,,42,,,
81,,3.99,,,,,,,331,,,42,,,
103,,2.99,,,,,,,331,,,42,,,
158,,3.99,,,,,,,331,,,42,,,
172,,3.99,,,,,,,332,,,42,,,
194,,6.99,,,,,,,332,,,42,,,
12,,2.99,,,,,,,333,,,42,,,
85,,2.99,,,,,,,333,,,42,,,
86,,5.99,,,,,,,333,,,42,,,
144,,4.99,,,,,,,334,,,42,,,
199,,2.99,,,,,,,334,,,42,,,
7,,7.99,,,,,,,335,,,42,,,
19,,2.99,,,,,,,335,,,42,,,
83,,5.98,,,,,,,336,,,42,,,
151,,0,,,,,,,336,,,42,,,
152,,4.99,,,,,,,337,,,43,,,
157,,4.99,,,,,,,337,,,43,,,
7,,4.99,,,,,,,337,,,43,,,
16,,1.99,,,,,,,338,,,43,,,
113,,2.99,,,,,,,338,,,43,,,
146,,4.99,,,,,,,339,,,43,,,
32,,4.99,,,,,,,339,,,43,,,
45,,2.99,,,,,,,339,,,43,,,
81,,4.99,,,,,,,339,,,43,,,
108,,3.99,,,,,,,339,,,43,,,
134,,0.99,,,,,,,340,,,43,,,
171,,4.99,,,,,,,340,,,43,,,
191,,4.99,,,,,,,340,,,43,,,
107,,4.99,,,,,,,340,,,43,,,
121,,4.99,,,,,,,341,,,43,,,
155,,4.99,,,,,,,341,,,43,,,
16,,2.99,,,,,,,342,,,43,,,
103,,4.99,,,,,,,342,,,43,,,
184,,4.99,,,,,,,342,,,43,,,
39,,4.99,,,,,,,343,,,43,,,
60,,6.99,,,,,,,343,,,43,,,
75,,2.99,,,,,,,343,,,43,,,
121,,3.98,,,,,,,343,,,43,,,
187,,0,,,,,,,344,,,43,,,
38,,0.99,,,,,,,344,,,44,,,
40,,4.99,,,,,,,345,,,44,,,
76,,2.99,,,,,,,345,,,44,,,
123,,0.99,,,,,,,345,,,44,,,
141,,2.99,,,,,,,346,,,44,,,
159,,3.99,,,,,,,346,,,44,,,
188,,2.99,,,,,,,346,,,44,,,
77,,3.99,,,,,,,347,,,44,,,
117,,4.99,,,,,,,347,,,44,,,
137,,0.99,,,,,,,348,,,44,,,
187,,9.99,,,,,,,348,,,44,,,
